Trial Number,Background,Foreground,Completion Time,Answer Correct,True Answer,Subject Answer
1,85,170,35.22278881072998,1,-3,-3
1,255,0,16.185980796813965,1,1,1
1,42,212,18.099435091018677,1,-1,-1
1,0,255,11.596436262130737,1,5,5
1,212,42,9.522045135498047,1,-1,-1
1,170,85,23.256548404693604,1,-3,-3
2,255,0,32.407705783843994,1,3,3
2,0,255,25.74957823753357,1,7,7
2,170,85,14.346888542175293,1,103,103
2,85,170,28.949424266815186,0,0,-1
2,212,42,24.66465711593628,1,-2,-2
2,42,212,14.882818698883057,1,1,1
3,255,0,36.48542666435242,1,-1,-1
3,0,255,11.423709392547607,0,-2,-1
3,85,170,6.285092115402222,0,-3,0
3,170,85,5.857212781906128,1,-1,-1
3,42,212,4.613301038742065,1,-2,-2
3,212,42,3.5806167125701904,0,0,-3
