Trial Number,Background,Foreground,Completion Time,Answer Correct,True Answer,Subject Answer
1,255,0,21.424537897109985,1,-3,-3
1,42,212,29.589345693588257,1,1,1
1,85,170,22.064297676086426,1,-1,-1
1,212,42,21.827040672302246,1,5,5
1,0,255,18.933160305023193,1,-1,-1
1,170,85,27.773114442825317,1,-3,-3
2,255,0,103.53216242790222,1,3,3
2,0,255,59.634153604507446,1,7,7
2,85,170,34.044757604599,1,103,103
2,212,42,31.629725217819214,1,0,0
2,170,85,29.51845359802246,1,-2,-2
2,42,212,33.29924178123474,0,1,-4
3,255,0,52.63732361793518,1,-1,-1
3,42,212,33.23375105857849,0,-2,-1
3,85,170,19.897040367126465,1,-3,-3
3,0,255,30.215948581695557,1,-1,-1
3,212,42,22.145362377166748,1,-2,-2
3,170,85,6.329813718795776,1,0,0
